login,issues,comments,cmt
117111302,1,1,0
1amirjalai,1,1,0
208rishabh,1,0,0
20pro,1,0,0
287400117,1,3,0
2bitoperations,1,0,0
314fc,1,0,0
36degrees,4,10,0
3h-william,1,0,0
3h4x,1,3,0
4onni,1,2,0
4ydx,3,2,0
759803573,1,1,0
7AC,1,1,0
85siva,1,0,0
91pavan,1,1,0
a-lustin-parc,1,0,0
A21z,2,1,1
a2lin,1,2,0
aadithya,1,4,0
aakash21,1,0,0
aamirmajeedkhan,1,3,0
aaneja,6,11,0
aanm,1,6,0
aantoniadis,1,0,0
AaronM04,1,1,0
abaudoux,1,2,0
abaxanean,10,18,0
abcfy2,1,0,0
abdollar,1,5,0
abelldh,1,3,0
abennet,1,0,0
abeyad,61,160,49
abh,7,10,1
abhaygarg,1,0,0
abhi-sanoujam,1,0,0
abhiage,3,1,0
abhijeetkushe,1,0,0
abhikalakuntla,1,1,0
abhishekguruvayya,1,0,0
abibell,3,4,0
abohne,1,0,0
abordia,1,0,0
abravorus,1,9,0
abraxxa,3,7,0
abronner,2,2,0
abtpst,9,6,0
abtris,1,0,0
abualy,1,2,0
abulhol,5,16,0
abxccd,1,3,0
acampagna,1,0,0
acareaga,1,0,0
acarstoiu,3,14,0
acassaignemondeca,1,1,0
acb122,1,2,0
acerb,2,4,1
achow,5,7,1
achselschweisz,2,2,0
acmeguy,1,4,0
AColmant,1,1,0
acreeger,2,0,0
ACV2,1,3,0
AdallomRoy,1,0,0
adaman79,1,1,0
adamhooper,1,0,0
adamjreilly,1,0,0
adammenges,1,2,1
adamMo,1,2,0
adamporat,1,1,0
adamw,6,6,0
adarshchacko,1,1,0
adastudy,1,0,0
ademar59,1,0,0
adhamelia,3,8,0
adimasuhid,1,2,0
adityakulkarni,2,0,0
adityapavan18,1,0,0
adkron,1,0,0
adler,1,1,0
adngdb,1,0,0
adol001,1,0,0
adoran,1,0,0
adrianbk,2,3,0
adrienbrault,1,2,0
aerofoil-kite,1,0,0
aerosol,1,1,0
aeryaguzov,4,3,1
aewhite,2,3,0
aferreira,4,1,0
aflag,1,1,0
afoeder,1,0,0
