author,cmt,add,del,fixes,closes,issues,pr,comments,tag,date
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,master,2016-06-10
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.10,2010-08-27
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.11,2010-09-28
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.12,2010-10-18
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.13,2010-11-18
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.14,2010-12-27
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.15,2011-02-18
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.16,2011-04-23
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.17,2011-07-19
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.18,2011-10-26
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.19,2012-02-07
Alban Perillat-Merceroz,0,0,0,0,0,1,0,0,v0.20,2012-10-22
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.4,2010-02-08
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.5,2010-03-05
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.6,2010-04-09
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.7,2010-05-14
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.8,2010-05-27
Alban Perillat-Merceroz,0,0,0,0,0,0,0,0,v0.9,2010-07-26
Alban Perillat-Merceroz,0,0,0,0,0,1,0,0,v0.90,2013-02-26
Alban Perillat-Merceroz,0,0,0,0,0,1,0,0,v1.0,2013-11-06
Alban Perillat-Merceroz,0,0,0,0,0,1,0,0,v1.1,2014-03-25
Alban Perillat-Merceroz,0,0,0,0,0,1,0,0,v1.2,2014-05-22
Alban Perillat-Merceroz,0,0,0,0,0,1,0,0,v1.3,2014-07-23
Alban Perillat-Merceroz,0,0,0,0,0,1,0,0,v1.4,2014-10-01
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v1.5,2015-03-23
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v1.6,2015-06-09
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v1.7,2015-07-16
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v2.0,2015-08-26
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v2.1,2015-11-18
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v2.2,2016-01-27
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v2.3,2016-03-25
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,v5.0,2016-04-03
Ali Beyad,49,15173,10635,4,0,19,42,160,master,2016-06-10
Ali Beyad,0,0,0,0,0,0,0,0,v0.10,2010-08-27
Ali Beyad,0,0,0,0,0,0,0,0,v0.11,2010-09-28
Ali Beyad,0,0,0,0,0,0,0,0,v0.12,2010-10-18
Ali Beyad,0,0,0,0,0,0,0,0,v0.13,2010-11-18
Ali Beyad,0,0,0,0,0,0,0,0,v0.14,2010-12-27
Ali Beyad,0,0,0,0,0,0,0,0,v0.15,2011-02-18
Ali Beyad,0,0,0,0,0,0,0,0,v0.16,2011-04-23
Ali Beyad,0,0,0,0,0,0,0,0,v0.17,2011-07-19
Ali Beyad,0,0,0,0,0,0,0,0,v0.18,2011-10-26
Ali Beyad,0,0,0,0,0,0,0,0,v0.19,2012-02-07
Ali Beyad,0,0,0,0,0,0,0,0,v0.20,2012-10-22
Ali Beyad,0,0,0,0,0,0,0,0,v0.4,2010-02-08
Ali Beyad,0,0,0,0,0,0,0,0,v0.5,2010-03-05
Ali Beyad,0,0,0,0,0,0,0,0,v0.6,2010-04-09
Ali Beyad,0,0,0,0,0,0,0,0,v0.7,2010-05-14
Ali Beyad,0,0,0,0,0,0,0,0,v0.8,2010-05-27
Ali Beyad,0,0,0,0,0,0,0,0,v0.9,2010-07-26
Ali Beyad,0,0,0,0,0,0,0,0,v0.90,2013-02-26
Ali Beyad,0,0,0,0,0,0,0,0,v1.0,2013-11-06
Ali Beyad,0,0,0,0,0,0,0,0,v1.1,2014-03-25
