author,cmt,add,del,fixes,closes,issues,pr,comments,files
Aarni Koskela,1,4,0,0,0,0,1,1,1
Aaron Dixon,1,96,75,1,0,1,1,1,0
Aaron Mildenstein,1,4,4,0,0,1,2,9,3
acerb,1,8,14,0,0,0,2,4,0
Adam,2,1,2,0,0,0,2,0,0
Adam Menges,1,8,8,0,0,0,1,2,1
Adam Mollenkopf,1,1,1,0,0,0,1,0,1
adavis,2,64,6,0,0,1,2,3,0
Adrien Grand,885,127794,161846,103,0,193,447,3464,1514
Akshay Kapoor,1,1,1,0,0,0,1,1,1
Alban Perillat-Merceroz,1,1,1,0,0,1,1,1,1
Andrew Selden,31,10692,1888,4,0,28,94,78,9
Alex,1,1,1,0,0,0,1,1,1
Alexander,1,1,1,1,0,0,1,0,1
Alexander Clare,2,8,3,0,0,1,1,2,1
Alexander Clausen,1,2,2,0,0,0,1,1,0
Alexander Kahn,1,3,0,0,0,1,1,3,0
Alexander Kazakov,11,399,238,0,0,0,11,10,35
Alexander Pepper,1,6,5,0,0,0,1,2,1
Alexander Reelsen,323,53082,22044,9,0,81,248,1236,268
Alex Brasetvik,2,42,1,0,0,3,4,13,1
Alex Chan,1,8,8,0,0,0,1,1,4
Alex Chow,1,52,18,0,1,1,4,7,7
Alex Ksikes,80,23028,14449,14,0,20,81,166,54
Alex Lambert,1,1,0,0,0,5,1,8,0
Alex Marandon,1,25,3,0,0,2,1,6,0
Alfredo Serafini,1,1,1,0,0,1,1,5,0
alheim,1,22,2,0,0,0,0,1,0
Ali Beyad,49,15173,10635,4,0,19,42,160,300
Ali Bozorgkhan,1,1,1,0,0,0,1,1,1
Al Lefebvre,1,2,0,0,0,1,1,0,1
Aman Gupta,1,2,2,0,0,2,1,0,0
ananich,1,9,0,0,0,0,1,1,0
Andreas Kohn,12,60,39,0,0,6,11,24,3
André Carvalho,14,181,42,0,0,2,7,39,11
André Hänsel,1,15,0,0,0,1,1,8,1
Andrei Kolosok,2,2,2,0,0,0,2,2,0
Andrej Kazakov,3,423,46,0,0,8,14,52,34
Andrew Cholakian,1,17,5,0,0,1,2,13,1
Andrew Gross,1,2,2,0,0,1,0,2,0
Andrew O'Brien,3,4,4,0,0,0,3,1,1
Andrew Ochsner,2,5,1,0,0,3,2,4,0
Drew Raines,92,88498,85847,2,0,80,34,266,16
Andrew Williams,1,5,4,0,0,0,1,3,1
Andrey Fadeyev,3,38,12,0,0,0,2,8,2
Andrey Ryaguzov,1,20,10,0,0,3,1,3,1
Andrii Gakhov,2,3,3,1,0,5,2,10,0
Andrius Juozapaitis,2,6,4,0,0,0,1,0,0
Andrzej Wisłowski,3,3,3,1,0,1,5,8,2
Andy Goldstein,2,14,1,0,0,0,1,4,1
ansj,1,1,0,0,0,1,1,1,1
Antoine Rey,1,1,1,0,0,1,1,2,0
Antonio Bonuccelli,3,24,1,0,0,17,5,21,0
Areek Zillur,83,24008,14006,11,0,9,53,189,205
Artur Cygan,1,13,13,0,0,0,1,1,0
Ashraf Sarhan,1,2,2,0,0,0,1,1,0
Asimov4,2,6,6,0,0,4,2,8,2
Ask Bjørn Hansen,1,1,1,0,0,6,1,10,0
Aske Hansen,1,3,0,0,0,0,1,1,0
astefan,2,6,1,0,0,13,2,11,2
Audrey,2,4,4,0,0,0,2,1,1
Aurelien Requiem,5,17,13,0,0,0,1,1,0
Austin McKinley,2,5,0,1,0,3,3,3,0
Ayumi Yu,1,1,1,1,0,0,0,0,0
Ayush,1,1,1,0,0,1,3,4,1
B1nj0y,1,1,1,0,0,0,1,0,1
babeya,1,2,2,0,0,0,1,0,0
baldurh,1,1,1,0,0,0,1,0,1
barbasa,1,1,1,0,0,0,1,1,1
barsk,2,36,8,0,0,2,1,2,0
bbgordonn,2,262,6,0,0,2,1,13,0
belevian,2,296,0,0,0,2,4,2,0
Benjamin Devèze,43,3419,481,6,0,20,94,94,1
Benjamin Vetter,2,21,16,0,0,3,1,11,5
Ben McCann,3,9,3,0,0,9,4,13,2
Benoit Delbosc,2,18,12,0,0,0,2,1,1
Benoit Sigoure,2,17,20,1,0,2,3,8,0
Benoss,1,5,5,0,0,0,1,1,0
Ben Tse,1,1,1,1,0,0,1,0,1
Bernhard K. Weisshuhn,1,8,1,0,0,0,1,5,0
bharvi,2,2,2,0,0,0,0,1,2
Bill Hwang,31,951,141,1,0,3,36,126,0
Binh Ly,5,1095,7,0,0,14,4,9,2
bitsofinfo,1,574,485,0,0,1,0,3,0
Björn Ali Göransson,1,44,4,0,0,1,0,3,0
blackorzar,1,4,0,0,0,0,2,2,0
Blake Niemyjski,1,1,1,0,0,3,1,16,0
Blake Smith,1,2,2,0,0,0,1,0,0
Boaz Leskes,665,76705,50091,34,0,214,556,4248,626
bloublou,1,1,1,0,0,0,1,3,1
Bobby T,1,3,0,0,0,0,1,0,0
Brad Fritz,1,2,2,0,0,0,1,0,1
Brady Vidovic,1,1,1,0,0,6,1,15,1
Brett Dargan,1,25,6,0,0,0,1,2,0
Brian Altenhofel,1,2,2,0,0,0,1,2,0
Brian Kim,1,5,5,0,0,0,1,0,1
Brian Murphy,38,5864,1703,0,0,6,22,56,3
Britta Weber,390,55746,15251,48,0,79,179,545,179
Bruno Renié,3,67,34,0,0,0,0,0,0
Brusic,11,352,63,1,0,24,16,236,4
caldwecr,2,6,6,0,0,0,2,1,2
Camilo Diaz Repka,5,513,234,0,0,2,12,40,160
Carol Willing,1,1,1,0,0,0,1,0,1
Carsten Brandt,2,2,2,1,0,2,2,3,2
cccabot,1,4,4,0,0,0,1,1,0
Cédric HOURCADE,3,886,102,0,0,5,4,21,0
cgp,1,1,1,0,0,0,1,0,0
Chelsea  Lura,1,1,1,0,0,0,1,1,1
chenxiang,1,2,2,0,0,0,1,1,1
Florian Schilling,23,11027,3512,1,2,24,48,128,5
Chris Allen,1,6,0,0,0,3,1,4,0
Chris Earle,44,3399,1500,2,0,198,64,452,94
Chris Male,14,7135,1895,0,0,8,7,15,0
Chris Mattmann,2,55,55,1,0,0,2,6,2
Chris Moultrie,1,18,1,0,0,2,2,9,1
Chris Roche,1,2,2,0,0,0,1,0,0
Chris Simpson,1,2,2,0,0,1,1,2,0
Christian Haudum,1,105,1,0,0,0,3,3,5
Christian Rohling,1,2,0,0,0,0,1,2,0
Christian Verkerk,2,9,7,0,0,0,3,1,2
Christian Wolfe,1,31,31,0,0,0,1,1,3
Christine,1,4,4,0,0,0,1,0,0
Christoph Büscher,461,43415,28082,22,0,36,169,697,417
Christopher Taylor,1,1,1,0,0,0,1,1,1
Christoph Frick,1,1,1,0,0,0,1,1,1
Christoph Kempen,1,2,1,0,0,0,1,3,0
Christoph Wurm,3,64,4,0,0,5,1,1,4
Chris Zelenak,1,1,1,0,0,1,0,2,0
Clément Salaün,1,1,1,0,0,2,2,0,0
Clément Tourrière,2,45,5,0,0,4,3,3,2
Clinton Gormley,870,231105,30591,22,0,561,58,8254,558
cmpich,2,3,3,0,0,0,2,0,1
Colin Goodheart-Smithe,439,136357,84476,72,0,174,428,1632,903
Conrad Pankoff,1,9,9,0,0,0,1,0,2
constantijn,1,8,1,0,0,1,2,4,0
corochoone,2,3,4,0,0,0,2,0,2
Cory G Watson,1,3,0,0,0,0,1,0,0
Costin Leau,32,4079,1576,6,0,27,9,116,15
craigwi,1,774,171,0,0,2,1,20,13
Cristiano Fontes,3,147,63,0,0,1,6,30,1
Damien Alexandre,2,11,9,0,0,3,3,16,1
Dan Everton,2,9,4,0,0,4,2,13,1
Daniel Mitterdorfer,69,6900,3615,4,0,15,36,274,316
Daniel Muller,1,1,1,0,0,0,1,0,0
Daniel Winterstein,2,11,1,0,0,0,2,1,0
Daniil Penkin,1,10,1,0,0,0,1,6,1
Danilo Vaz,1,10,10,0,0,0,1,0,6
Dan Jasek,1,40,22,1,0,3,2,2,7
Dan Tuffery,2,2,2,0,0,0,3,2,1
Dariusz Gertych,1,86,1,0,0,0,0,0,0
darkwarriors,1,4,4,1,0,0,1,2,1
Dave Brosius,1,1,1,1,0,1,2,2,0
Dave Parfitt,7,278,9,0,0,0,5,16,7
David Haney,2,10,2,0,0,0,2,1,2
David Pilato,1182,119173,76326,38,0,179,244,2250,546
David Pursehouse,3,37,22,0,0,1,5,26,4
David Roberts,1,1,1,0,0,1,1,1,1
David Smiley,1,105,54,0,0,2,2,15,0
David Tvaltchrelidze,1,1,1,0,0,1,1,3,1
David Wittman,1,3,3,0,0,0,1,0,1
Dawid Weiss,7,767,608,0,0,1,8,19,2
debadair,6,761,63,0,0,0,3,8,10
DeDe Morton,8,2185,2085,0,0,1,4,3,7
Derek Haynes,1,2,0,0,0,0,1,2,0
Derek McNeil,1,71,0,0,0,0,1,1,0
Devi,1,1,1,1,0,4,1,2,1
Devin Chollak,2,4,4,0,0,0,2,1,0
Diego Ongaro,1,14,0,0,0,0,2,4,0
Dimitrios Liappis,4,8,8,1,0,1,1,8,2
Dmitrii Izgurskii,1,1,1,0,0,0,1,1,1
Dmitriy Khvatov,1,1,1,0,0,0,2,1,1
Dmitry Polushkin,1,3,0,0,0,0,1,4,0
Dmitry Zhlobo,1,6,1,0,0,0,0,0,0
Dominik Stadler,2,19,1,0,0,3,3,9,1
Dominik Surowiecki,1,2,2,0,0,0,1,1,0
Dongjoon Hyun,9,275,275,0,0,0,8,8,169
dpen2000,1,1,1,0,0,0,1,0,0
Dridi Boukelmoune,1,2,2,0,0,0,1,2,0
dtpeacock,1,1,1,0,0,0,1,0,1
Duncan Angus Wilkie,1,1,1,0,0,0,1,2,0
Dustin Shiver,1,8,4,0,0,0,1,1,1
dw,2,6,6,0,0,1,3,6,0
eBuildy,2,3,3,0,0,1,2,18,1
Eduardo Gurgel,1,2,2,0,0,0,1,1,1
Edward Dale,2,465,71,0,0,0,1,1,0
Edward Wang,1,1,1,0,0,0,1,1,0
Ed Winn,1,1,1,0,0,0,1,1,1
Eike Dehling,1,41,2,0,0,1,1,7,0
ejain,1,1,0,0,0,9,1,19,0
Elie A,3,10,7,0,0,2,6,10,0
eratio08,1,2,0,0,0,0,2,3,1
ericamick,4,5,5,0,0,0,5,0,4
ericheiker,1,2,2,0,0,0,1,1,0
Erick Tryzelaar,3,15,6,0,0,11,2,1,0
Erik Ringsmuth,1,1,1,0,0,5,1,12,1
Eugene Pirogov,1,12,13,0,0,1,2,2,1
evanfreed,1,1,1,0,0,0,1,1,1
EvanYellow,1,49,2,0,0,0,1,0,0
Evgeniy Sokovikov,1,1,1,0,0,0,1,0,1
Fabian Selles Rosa,1,51,2,0,0,0,1,3,0
Felipe Forbeck,7,217,135,1,0,0,5,11,5
Fitblip,1,165,4,0,0,1,1,19,1
Florian Gilcher,3,44,25,1,0,8,4,16,0
Florian Hopf,4,4,5,0,0,2,4,1,1
fransflippo,1,4,4,0,0,0,1,6,1
