tag,date,cmt,add,del,fixes,closes,issues,pr,comments
v0.4,2010-02-08,3,182200,1,0,0,0,0,0
v0.5,2010-03-05,148,223252,14127,11,17,49,0,147
v0.6,2010-04-09,335,258285,24608,28,65,125,0,283
v0.7,2010-05-14,513,415736,116492,40,86,173,0,357
v0.8,2010-05-27,599,428252,118532,44,105,196,0,393
v0.9,2010-07-26,908,527044,334004,69,163,276,0,557
v0.10,2010-08-27,1115,554811,354640,83,196,336,0,675
v0.11,2010-09-28,1254,582908,366251,96,226,385,2,755
v0.12,2010-10-18,1345,607144,376864,100,258,429,7,826
v0.13,2010-11-18,1517,628502,388698,113,307,515,10,1017
v0.14,2010-12-27,1639,643419,393584,121,341,565,12,1111
v0.15,2011-02-18,1920,678214,410514,134,406,680,19,1318
v0.16,2011-04-23,2210,711320,424106,155,520,849,28,1579
v0.17,2011-07-19,2550,799752,472722,186,634,1054,74,2003
v0.18,2011-10-26,2938,834023,487922,206,786,1301,124,2438
v0.19,2012-02-07,3421,1251497,906726,242,913,1511,163,3005
v0.20,2012-10-22,4170,1325670,931398,294,1096,2024,320,4369
v0.90,2013-02-26,4750,1564168,1013065,385,1112,2290,399,5153
v1.0,2013-11-06,6700,1887138,1223261,484,1165,3354,746,9274
v1.1,2014-03-25,8278,2139019,1329186,568,1183,4210,1307,13146
v1.2,2014-05-22,8956,2194421,1402239,607,1200,4546,1718,15496
v1.3,2014-07-23,9615,2419866,1450520,640,1233,4896,2071,18239
v1.4,2014-10-01,10535,2496344,1533809,699,1245,5358,2577,21704
v1.5,2015-03-23,12230,2648832,1646460,792,1250,6638,3561,30635
v1.6,2015-06-09,13835,3788438,2764587,916,1258,7311,4223,36212
v1.7,2015-07-16,14610,3899264,2841030,999,1265,7621,4648,38976
v2.0,2015-08-26,15586,4131316,3023266,1080,1266,8008,5092,42049
v2.1,2015-11-18,17673,4438468,3325326,1266,1267,8829,5971,48461
v2.2,2016-01-27,19531,4716678,3550041,1415,1267,9503,6736,54199
v2.3,2016-03-25,20882,4893941,3693180,1504,1267,10000,7327,58698
v5.0,2016-04-03,21085,4909003,3703971,1525,1267,10079,7400,59210
master,2016-06-10,22416,5127753,3870407,1577,1267,10636,8146,64823
